"id";"symbol";"price";"time"
269;"EGLDUSDT";38.0;1655132659748
270;"FTTUSDT";25.516;1655136775963
271;"ETHBUSD";3258.5;1642801030236
272;"FLMUSDT";0.1289;1655136794628
273;"JASMYUSDT";0.00947;1655136794403
274;"BNXUSDT";124.44;1655133945498
275;"ADABUSD";0.4354;1655124833529
276;"MKRUSDT";805.0;1655136801681
277;"GALAUSDT";0.0549;1655132718067
278;"GMTUSDT";0.5984;1655136730830
279;"SOLBUSD";148.86;1642376011120
280;"VETUSDT";0.02478;1655136775226
281;"FLOWUSDT";1.687;1655136794297
282;"DOTBUSD";6.998;1655136676442
283;"API3USDT";1.023;1655132162821
284;"FILUSDT";5.264;1655136775494
285;"1000SHIBUSDT";0.007812;1655136802116
286;"OMGUSDT";1.915;1655136793891
287;"IOSTUSDT";0.013784;1655136796588
288;"KLAYUSDT";0.256;1655136770803
289;"AVAXUSDT";16.5;1655136787368
290;"ANKRUSDT";0.0255;1655131836045
291;"GALUSDT";3.0125;1655136008673
292;"BNTUSDT";3.188;1642378592545
293;"ANCBUSD";0.1103;1655136205308
294;"LITUSDT";0.8;1655132672567
295;"NEARUSDT";3.532;1655136796741
296;"ETHUSDT_220624";1252.71;1655136787828
297;"KNCUSDT";1.309;1655136787228
298;"ADAUSDT";0.4607;1655136800485
299;"BTCBUSD";23948.7;1655136798799
300;"KAVAUSDT";1.6901;1655136794319
301;"GALABUSD";0.057965;1655136529023
302;"SNXUSDT";1.898;1655136794014
303;"MANAUSDT";1.577;1652063178029
304;"CELRUSDT";0.01794;1653462393601
305;"DOTUSDT";13.489;1652090488025
306;"DYDXUSDT";6.334;1649264674015
307;"LUNA2BUSD";2.3908;1655126313412
308;"1000LUNCBUSD";0.055;1655111302022
309;"BANDUSDT";1.3008;1655136787274
310;"STORJUSDT";0.3601;1655136775277
311;"RAYUSDT";0.654;1655136286504
312;"PEOPLEUSDT";0.01855;1655136664955
313;"ETCUSDT";14.562;1655136523658
314;"BTCUSDT";23966.9;1655136801606
315;"BAKEUSDT";0.8652;1651269217040
316;"GALBUSD";2.71;1655121574170
317;"TOMOUSDT";0.438;1655136801869
318;"UNIUSDT";3.764;1655136775352
319;"THETAUSDT";3.986;1651338960023
320;"LRCUSDT";0.3855;1655136796793
321;"GRTUSDT";0.56005;1642836576213
322;"XEMUSDT";0.1021;1652334167063
323;"XLMUSDT";0.1075;1655136787067
324;"LINAUSDT";0.00843;1655136802069
325;"HNTUSDT";8.596;1655136787415
326;"ALGOUSDT";0.3135;1655136801538
327;"HBARUSDT";0.1;1655100279015
328;"ZECUSDT";67.79;1655136794180
329;"OGNUSDT";0.2045;1655136775807
330;"ZENUSDT";13.965;1655136781712
331;"NEOUSDT";21.982;1651899509061
332;"SRMUSDT";2.86;1645574401904
333;"MATICUSDT";1.152;1655100424046
